id,question,letter,answer,img
621,Dana jest tabela zwierzeta z polami nazwa gatunek gromada cechy dlugosc_zycia. Dla dowolnego zestawu danych aby wyświetlić nazwy tych zwierząt które żyją przynajmniej 20 lat oraz są ssakami należy wydać zapytanie:,C,SELECT nazwa FROM zwierzeta WHERE dlugosc_zycia >=20 AND gromada = ‘ssak‘;,0
622,W tabeli personel znajdują się pola: imie nazwisko pensja staz. Aby otrzymać średnią pensję pracowników dla których staż wynosi od 10 do 20 lat pracy włącznie należy wykonać kwerendę:,B,SELECT AVG(pensja) FROM personel WHERE staz >= 10 AND staz <= 20;,0
623,Zapytanie z klauzulą JOIN stosuje się aby,D,uzyskać wyniki z dwóch tabel pozostających ze sobą w relacji.,0
624,Aby usunąć tabelę należy zastosować kwerendę,C,DROP TABLE,0
625,Za pomocą przedstawionego zapytania w tabeli zostanie,C,dodana kolumna nazwa2 typu zmiennoprzecinkowego.,1
626,Które tabele zostaną sprawdzone za pomocą przedstawionego polecenia?,A,Tabele które zmieniły się od ostatniej kontroli lub nie zostały poprawnie zamknięte.,1
627,Jakie uprawnienia będzie miał użytkownik jan po wykonaniu na bazie danych przedstawionych poleceń?,A,Będzie mógł zmienić strukturę tabeli klienci.,1
628,Witryna internetowa wysyła dane poufne za pomocą formularza do kodu PHP. Która metoda wysłania jest najbardziej bezpieczna?,D,Metoda POST za pomocą protokołu HTTPS,0
629,Przedstawiony fragment kodu PHP ma za zadanie umieścić dane znajdujące się w zmiennych $a $b $c w bazie danych w tabeli dane. Tabela dane zawiera cztery pola z czego pierwsze to autoinkrementowany klucz główny. Które z poleceń powinno być przypisane do zmiennej $zapytanie?,D,INSERT INTO dane VALUES (NULL '$a' '$b' '$c');,1
630,Witryna internetowa ma mieć przedstawioną strukturę bloków. Aby uzyskać ten układ należy znacznikom sekcji przypisać właściwości w następujący sposób:,D,float tylko dla bloków: 2 3 4; clear dla bloku 5,1
631,Podstawowym zadaniem systemu CMS jest oddzielenie treści serwisu informacyjnego od jego wyglądu. Efekt ten jest uzyskany poprzez generowanie zawartości,A,z bazy danych oraz wyglądu ze zdefiniowanego szablonu.,0
632,W języku HTML znacznik < i > nadaje znakom taki sam wizualny efekt jak znacznik,B,< em >,0
633,Przedstawiono tabelę zdefiniowaną kodem HTML bez formatowania CSS. Który z fragmentów kodu HTML odpowiada pierwszemu wierszowi tabeli?,D,D,1
634,Aby obraz wstawiony kodem HTML mógł być interpretowany przez programy wspomagające osoby niewidzące należy zdefiniować atrybut,A,alt,0
635,Na obrazie przedstawiono efekt formatowania stylami CSS oraz kod HTML generujący ten przykład. Zakładając że marginesy wewnętrzne wynoszą 50 px a zewnętrzne wynoszą 20 px styl CSS dla obrazu ma postać,C,img {
background-color: Teal;
border: 4px solid black;
padding: 50px;
margin: 20px;
},1
636,W kodzie CSS zdefiniowano cztery klasy formatowania których następnie użyto do formatowania paragrafów. Efekt widoczny na rysunku powstał po zastosowaniu klasy o nazwie,B,format2,1
637,W jakim formacie należy zapisać obraz aby mógł być wyświetlony na stronie internetowej z zachowaniem przezroczystości?,C,PNG,0
638,Na potrzeby strony internetowej przygotowano grafikę rysunek.jpg o rozmiarze: szerokość 200 px wysokość 100 px. Aby wyświetlić tę grafikę jako miniaturę – pomniejszoną z zachowaniem proporcji można zastosować znacznik,B,< img src = "rysunek.png" style = "width: 50px" >,0
639,Której funkcji edytora grafiki rastrowej należy użyć aby przygotować rysunek do wyświetlenia na stronie w ten sposób żeby było widoczne tylko to co znajduje się w ramce?,C,Kadrowanie,1
640,Przedstawiony fragment dokumentu HTML z kodem JavaScript spowoduje że po wciśnięciu przycisku,B,obraz2.png zostanie ukryty.,1
641,Co spowoduje fragment skryptu w języku JavaScript?,C,Przypisze zmiennej s wartość odpowiadającą długości napisu ze zmiennej n.,1
642,Przedstawiony kod PHP nawiązuje połączenie z serwerem bazy danych. Jakiego typu operacje powinny się znaleźć w instrukcji warunkowej w miejscu trzech kropek?,B,Obsługa błędu połączenia.,1
643,Który znacznik należący do sekcji head dokumentu HTML w wersji 5 jest wymagany przez walidator języka HTML a jego brak jest zgłaszany jako błąd (error)?,A,title,0
644,Za pomocą którego protokołu można opublikować stronę internetową na serwerze?,A,FTP,0
645,W przedstawionym fragmencie algorytmu zastosowano,B,jedną pętlę.,1
646,Do optymalnej realizacji algorytmu szukającego największej z trzech podanych liczb a b i c wystarczy zastosować,C,dwa warunki.,0
647,Które wyrażenie logiczne w języku PHP sprawdza czy zmienna1 należy do przedziału jednostronnie domkniętego <-5 10)?,C,$zmienna1 >= -5 && $zmienna1 < 10,0
648,Przedstawiona w języku C++ definicja typu wyliczeniowego sprawi że enumerator CZWARTEK będzie równy,D,liczbie 4,1
649,Tablica tab[] jest wypełniona dowolnymi liczbami całkowitymi. Jaka wartość znajdzie się w zmiennej zm2 po wykonaniu prezentowanego fragmentu kodu?,C,Średnia arytmetyczna liczb z tablicy.,1
650,W języku JavaScript metoda getElementById odwołuje się do,C,znacznika HTML o podanym id.,0
651,W języku C++ funkcja zwracająca wynik potęgowania działająca na dwóch parametrach wejściowych: liczbie x i wykładniku w ma deklarację,B,int potega(int x int w);,0
652,Aby skorzystać ze skryptu zapisanego w pliku przyklad.js należy połączyć go ze stroną za pomocą kodu,B,< script src="przyklad.js" > < /script >,0
653,Programista napisał w języku C++ pętlę która miała obliczyć wynik działania 5! (5! = 1 * 2 * 3 * 4 * 5). Popełnił jednak błąd logiczny polegający na tym że,D,w drugim parametrze pętli powinno być porównanie i < 6 zamiast i < 5.,1
654,Który ze sposobów komentowania kodu nie jest stosowany w kodzie PHP?,D,< !-- komentarz -- >,0
655,Klucz obcy w tabeli jest tworzony po to aby,D,zdefiniować relację 1..n wiążącą go z kluczem głównym innej tabeli.,0
656,Które ze stwierdzeń dotyczących klucza podstawowego jest prawdziwe?,A,Jest unikalny w obrębie tabeli.,0
657,W języku SQL aby zmodyfikować dane w tabeli należy posłużyć się poleceniem,B,UPDATE,0
658,Które zapytanie SQL posłuży do wyszukania z przedstawionej tabeli wyłącznie wszystkich imion i nazwisk pacjentów urodzonych przed rokiem 2002?,C,SELECT imie nazwisko FROM Pacjenci WHERE rok_urodzenia < 2002;,1
659,Aby utworzyć tabelę należy się posłużyć poleceniem,C,CREATE TABLE,0
660,Wynikiem uruchomienia zapytania SQL jest,C,liczba uczniów których średnia ocen wynosi 5.,1
661,Aby wyświetlić jedynie imię nazwisko i ulicę wszystkich mieszkańców należy zastosować zapytanie,D,SELECT imie nazwisko ulica FROM Mieszkancy JOIN Adresy ON Mieszkancy.Adresy_id = Adresy.id;,1
662,Przedstawiona baza danych zawiera trzy tabele i dwie relacje. Aby wyświetlić dane wszystkich lekarzy przypisanych do konkretnego pacjenta należy przyrównać klucze,C,Lekarze.id = Pacjenci.Lekarze_id,1
663,W wyniku połączenia relacją kluczy głównych dwóch tabel otrzymuje się relację typu,C,jeden do jednego.,0
664,Obiektem służącym w bazie danych do podsumowywania wyświetlania i wydruków danych jest,A,raport.,0
665,Za pomocą polecenia ALTER TABLE można,C,modyfikować strukturę tabeli.,0
666,W bazie danych zdefiniowano tabelę Mieszkancy wypełnioną danymi. Aby usunąć tę tabelę wraz z zawartością należy posłużyć się poleceniem,A,DROP TABLE Mieszkancy;,0
667,Aby odebrać uprawnienia użytkownikowi należy zastosować polecenie,B,REVOKE,0
668,Aby aplikacja PHP mogła komunikować się z bazą danych niezbędne jest w pierwszej kolejności wywołanie funkcji o nazwie,B,mysqli_connect,0
669,Który z wymienionych znaczników języka HTML może posłużyć do budowy struktury strony internetowej?,B,< aside >,0
670,Logo systemu CMS o nazwie Joomla! to,B,B,1
671,Język HTML dysponuje nagłówkami do budowania hierarchii treści. Nagłówki te występują jedynie w zakresie,B,h1 – h6,0
672,W języku HTML zdefiniowano odnośnik do strony internetowej. Aby strona otwierała się w nowym oknie lub zakładce przeglądarki należy dopisać do definicji odnośnika atrybut,C,target = "_blank",1
673,Która lista jest interpretacją przedstawionego kodu?,C,C,1
674,Na potrzeby strony internetowej zdefiniowano styl. Styl będzie przypisany tylko do niektórych znaczników (np. niektórych nagłówków kilku akapitów). W takim wypadku aby przypisać styl do kilku konkretnych znaczników najlepiej jest zastosować,A,klasę.,1
675,Aby zdefiniować krój czcionki w stylu CSS należy użyć właściwości,D,font-family,0
676,Który z obrazów został sformatowany za pomocą przedstawionego stylu CSS?,A,A,1
677,Aby na stronie internetowej wyświetlić logo którego tło jest przezroczyste należy zastosować format,C,PNG,0
678,Aby obraz umieszczony na stronie internetowej automatycznie skalował się do rozmiaru ekranu na którym jest wyświetlana strona należy,D,jego szerokość ustawić w wartościach procentowych.,0
679,W procesie przygotowywania grafiki na stronę internetową należy wyciąć jedynie jej fragment. Taka operacja to,B,kadrowanie.,0
680,W aplikacji internetowej komunikat powinien pojawiać się tylko wtedy gdy dany użytkownik jest na stronie po raz pierwszy. Którą funkcję PHP należy w tym celu zastosować?,B,setcookie,0
681,Przedstawiona definicja formularza została zastosowana na stronie internetowej która wysyła dane do pliku zapisanego w języku PHP. W której tablicy będą dostępne dane z formularza?,B,$ _ POST,1
682,W skrypcie JavaScript zastosowano metodę DOM getElementsByClassName('akapit'). Metoda ta odwoła się do akapitu,D,< p class="akapit" > akapit4 < /p >,0
683,Dla przedstawionego fragmentu kodu walidator HTML zwróci błąd ponieważ,D,nie domknięto cudzysłowu.,1
684,Program FileZilla może posłużyć do,C,publikacji strony internetowej.,0
685,Która wartość zostanie wypisana przez algorytm?,D,15,1
686,Wskaż złożoność obliczeniową algorytmu naiwnego (zwykłego) wyszukiwania minimum w zbiorze liczb?,A,O(n),0
687,Do którego pola klasy Dane możliwy będzie dostęp z zewnątrz poprzez nazwę obiektu utworzonego jako instancja tej klasy?,B,Do pola $a.,1
688,W języku JavaScript utworzono obiekt. Aby pobrać wartość własności w można zapisać,B,obiekt.w,1
689,W języku PHP zainicjowano zmienną $a wartością 1. Porównanie $a === $b przyjmuje wartość true w przypadku gdy zmienna $b jest zainicjowana wartością,C,1,0
690,Która pętla w języku PHP pozwala wykonać operacje na wszystkich elementach tablicy z automatycznym indeksowaniem jej elementów?,C,foreach,0
691,Wskaż wynik wykonania przedstawionego kodu PHP jeżeli zmienna tab jest tablicą.,C,sarny dziki,1
692,Zapisaną językiem PHP funkcję o nazwie policz wywołano z argumentem $Z = 1. Jaki wynik zostanie zwrócony?,A,13,1
693,Wskaż funkcję JavaScript za pomocą której można obliczyć połowę kwadratu liczby przekazanej jako argument.,C,function wynik(a) { return a*a/2; },0
694,Która z przedstawionych funkcji języka PHP zamieni słowo "kota" na słowo "mysz" w napisie "ala ma kota"?,D,str_replace("kota" "mysz" "ala ma kota");,0
695,Która z przedstawionych metod pozwoli wypisać w języku JavaScript komunikat w konsoli przeglądarki internetowej?,D,console.log("test");,0
696,Polecenie wysyłane do serwera bazy danych polegające na zbieraniu poszukiwaniu lub modyfikowaniu danych w bazie jest nazywane,B,kwerendą.,0
697,Kolumna pełniąca rolę klucza głównego w tabeli musi,B,zawierać unikalne wartości.,0
698,Która z wbudowanych funkcji agregujących języka SQL oblicza średnią wartości we wskazanej kolumnie?,B,AVG,0
699,Aby w wyniku zapytania wyeliminować powtarzające się wiersze należy użyć klauzuli,C,DISTINCT,0
700,Za pomocą którego polecenia SQL można usunąć z tabeli artykuły wiersze zawierające słowo "sto" znajdujące się w dowolnym miejscu pola tresc?,C,DELETE FROM artykuly WHERE tresc LIKE "%sto%";,0
701,W bazie danych sklepu istnieją dwie tabele powiązane relacją: produkty oraz ceny. Tabela oceny zawiera dowolną liczbę ocen klientów dla danego produktu opisaną polami: id ocena (pole numeryczne) produktID (klucz obcy). Aby wskazać maksymalną ocenę dla produktu o ID równym 10 należy posłużyć się zapytaniem,B,SELECT MAX(ocena) FROM oceny WHERE produktID = 10;,0
702,Aby zmodyfikować strukturę tabeli w bazie MySQL należy wykonać polecenie,A,ALTER TABLE,0
703,Za pomocą którego zapytania Administrator odbierze prawo przeglądania oraz aktualizacji danych w bazie gazeta dla użytkownika redaktor?,A,REVOKE SELECT UPDATE ON gazeta.* FROM 'redaktor'@'localhost';,0
704,Za pomocą której funkcji języka PHP można ustanowaić połączenie z bazą danych o nazwie zwierzaki?,D,$polacz = mysqli_connect('localhost' 'root' '' 'zwierzaki');,0
705,Po uszkodzeniu serwera bazy danych aby możliwe najsprawniej przywrócić działanie kompletnej bazy należy użyć,C,aktualnej wersji kopii zapasowej.,0
706,Która z przedstawionych grup znaczników HTML zawiera znaczniki służące do grupowania elementów i tworzenia struktur dokumentu?,D,div article header,0
707,Który zapis w języku HTML jest deklaracją kodowania znaków w dokumencie?,C,< meta charset="UTF-8" >,0
708,Który zapis w dokumencie HTML pozwala na połączenie z zewnętrznym arkuszem stylów o nazwie style.css?,A,< link rel="stylesheet" href="style.css" >,0
709,Który znacznik HTML jest elementem blokowym?,A,p,0
710,Ile maksymalnie należy użyć znaczników < td > w tabeli o trzech kolumnach i trzech wierszach niezawierającej złączeń komórek i wiersza nagłówkowego?,C,9,0
711,Atrybutem określającym lokalizację pliku graficznego dla znacznika < img > jest,B,src,0
712,Formatowanie CSS akapitu określa styl szarej ramki o cechach:,A,linia kropkowa; grubość 2 px; marginesy pomiędzy tekstem a ramką 15 px.,1
713,Który selektor formatuje akapity tekstu o klasie tekst oraz element blokowy o ID obrazki?,A,p.tekst div#obrazki,0
714,Pogrubienie tekstu za pomocą znacznika < b > można uzyskać także przy wykorzystaniu właściwości CSS,B,font-weight,0
715,Aby w języku CSS ustawić czerwony kolor dla tekstu można użyć stylu,A,color: rgb(25500);,0
716,Za pomocą którego zapisu zostanie utworzony w dokumencie HTML element wyświetlający obraz kotek.jpg z tekstem alternatywnym "obrazek kotka"?,D,< img src="kotek.jpg" alt="obrazek kotka" >,0
717,Wskaż poprawne stwierdzenie dotyczące przedstawionego kodu HTML.,C,Kod może nie działać w przeglądarce jeśli nie obsługuje ona HTML5.,1
718,Które zdarzenie pozwala wykonać kod w języku JavaScript w chwili wysyłania formularza HTML i zablokować lub pozwolić na jego wysłanie?,C,onSubmit,0
719,W kodzie JavaScript pobrano element za pomocą metody getElementById. Aby zmodyfikować zawartość (treść) elementu można użyć właściwości,D,innerHTML,0
720,Przedstawiona linia kodu zapisana językiem PHP ma za zadanie,C,zdefiniować stałą o nazwie OSOBA.,1
721,Walidacja pól formularzy polega na sprawdzeniu,D,czy wprowadzone dane spełniają określone reguły.,0
722,Zgodnie z regułami walidacji HTML5 poprawnym zapisem znacznika hr jest,A,< hr >,0
723,Użytkownik wprowadził adres nieistniejącego zasobu na serwerze. Próba połączenia wygeneruje błąd,B,404,0
724,Program o nazwie FileZilla pozwala na,D,publikację strony internetowej na odległym serwerze.,0
725,Który odnośnik jest prawidłowo zdefiniowany?,D,< a href="http://strona.pl">strona,0
726,W którym standardzie języka hipertekstowego zostały wprowadzone do składni znaczniki sekcji < footer > < header > < nav >?,B,HTML5,0
727,Selektor klasy w kaskadowych arkuszach stylów należy zdefiniować za pomocą symbolu,A,. (kropka),0
728,W języku CSS aby uzyskać efekt pochylenia tekstu należy użyć właściwości,B,font-style,0
729,Dla którego akapitu zastosowano przedstawioną właściwość stylu CSS? border-radius: 20%;,B,B,1
730,Aby za pomocą CSS zdefiniować przedstawione opływanie obrazu tekstem należy w stylu obrazu wprowadzić zapis,D,float: right;,1
731,Pojęcie "front-end" stosowane w kontekście tworzenia stron WWW odnosi się do,D,interfejsu strony internetowej związanego z technologiami działającymi po stronie przeglądarki internetowej.,0
732,Który zestaw pojęć definiuje interfejs użytkownika strony internetowej?,B,Przyciski menu interakcja użytkownika z aplikacją.,0
733,Na rysunku pokazano schemat rozmieszczenia bloków na stronie WWW w której jego części umieszcza się zwykle stopkę strony?,D,5,1
734,Aby zweryfikować poprawność składni kodu CSS można użyć,B,walidatora,0
735,Który z poniższych przykładów kodu HTML5 zostanie zakwalifikowany przez walidator HTML jako błędny?,D,<p class= "stl"><style>.a{color:#F00}</style>tekst</p>,0
736,Aby bezpiecznie przesłać pliki strony internetowej na serwer WWW można użyć protokołu,B,SFTP,0
737,Kolor zielony w notacji szesnastkowej skróconej można zapisać w CSS sekwencją,B,#0F0,0
738,Składowymi modelu barw CMYK są kolory:,B,cyjan magenta żółty i czarny.,0
739,Powstające podczas zapisu pliku graficznego prostokątne zniekształcenia obrazu są charakterystyczne dla formatu,D,JPEG z dużym stopniem kompresji stratnej.,1
740,Który rastrowy format graficzny jest obsługiwany przez przeglądarki internetowe?,C,PNG,0
741,Proporcje obrazu 16:9 (przy założeniu że piksel ma kształt kwadratu) można uzyskać przy rozdzielczości,C,1366 na 768 pikseli.,0
742,Który z wymienionych formatów umożliwia zapis dźwięku i obrazu?,B,MP4,0
743,Podczas strumieniowego przesyłania cyfrowego materiału wideo parametrem wpływającym na jakość obrazu i dźwięku jest przepływność. Wielkość ta opisuje liczbę,C,bitów transmitowanych w jednostce czasu.,0
744,Funkcja COUNT języka SQL realizuje,B,zliczanie rekordów wybranych kwerendą.,0
745,Ustalenie relacji pomiędzy tabelami w systemie bazodanowym MySQL umożliwia klauzula,C,REFERENCES,0
746,Aby wyświetlić rekordy z tabeli pracownicy tylko dla pracowników którzy skończyli 26 lat należy użyć zapytania,D,SELECT * FROM pracownicy WHERE wiek > 25;,0
747,W bazach danych relacja wiele-do-wielu pomiędzy tabelami występuje gdy,A,wielu wierszom tabeli A przypada wiele wierszy tabeli B.,0
748,Aby zaimportować plik z danymi SQL do bazy danych MySQL można użyć narzędzia,C,phpMyAdmin.,0
749,Aby w systemie MySQL nadać użytkownikowi prawo do nadawania i zmiany uprawnień innym użytkownikom należy zastosować klauzulę,B,GRANT OPTION,0
750,Aby wykonać kopię zapasową bazy danych MySQL można posłużyć się,B,eksportem bazy.,0
751,Którą integralność opisuje cytowana definicja?
"... polega na wprowadzeniu i utrzymaniu powiązań pomiędzy tabelami. Związki te tworzy się przez umieszczenie kolumny pełniącej rolę klucza głównego tabeli w innej tabeli co nadaje kolumnie funkcję klucza obcego.",C,Referencyjną.,0
752,Czynnością zalecaną przed wykonaniem kopii bezpieczeństwa danych w bazie MySQL jest,D,sprawdzenie integralności bazy i ewentualnie jej naprawa.,0
753,Zmienna typu integer lub int może przechowywać,C,liczbę całkowitą.,0
754,Wskaż typ złożony,D,class,0
755,Wskaż instrukcję iteracyjną,A,for,0
756,Debugger to oprogramowanie którego zadaniem jest,D,dynamiczna analiza uruchomionego programu w celu wykrycia przyczyn nieprawidłowego działania.,0
757,Którą wartość będzie przechowywała zmienna a po wykonaniu przedstawionej sekwencji instrukcji języka PHP?,C,11,1
758,Który framework został opracowany dla skryptowego języka PHP?,C,Symfony.,0
759,Formularz którego fragment przedstawiono został obsłużony w skrypcie PHP. Wskaż prawidłowo zapisane pobranie wartości wprowadzonej do pola edycyjnego,D,$name = $ _ POST['imie'];,1
760,Aby przetestować poprawność działania kodu JavaScript należy użyć,D,konsoli w przeglądarce internetowej.,0
761,Wskaż komentarz wieloliniowy w języku PHP,C,/* */,0
762,CAPTCHA to technika zabezpieczeń na stronach WWW pozwalająca,C,potwierdzić że dane z formularza są wysyłane przez człowieka.,0
